timestamp [s]; system state; screw rpm [1/min]; spooler rpm [1/min]; heater pwm [%]; temperature [°C]; diameter [mm]; switch status
   0.0; H;    0;    0;   0;       150.00;        0.000; 0                                           
   1.0; H;    0;    0; 100;       152.28;        0.000; 0                                           
   2.0; H;    0;    0; 100;       154.57;        0.000; 0                                           
   3.0; H;    0;    0; 100;       156.84;        0.000; 0                                           
   4.0; H;    0;    0; 100;       159.12;        0.000; 0                                           
   5.0; H;    0;    0; 100;       161.39;        0.000; 0                                           
   6.0; H;    0;    0; 100;       163.69;        0.000; 0                                           
   7.0; H;    0;    0; 100;       165.96;        0.000; 0                                           
   8.0; H;    0;    0; 100;       168.23;        0.000; 0                                           
   9.0; H;    0;    0; 100;       170.51;        0.000; 0                                           
  10.0; H;    0;    0; 100;       172.76;        0.000; 0                                           
  11.0; H;    0;    0; 100;       175.04;        0.000; 0                                           
  12.0; H;    0;    0; 100;       177.31;        0.000; 0                                           
  13.0; H;    0;    0; 100;       179.58;        0.000; 0                                           
  14.0; P;    0;    0; 100;       181.83;        0.000; 0                                           
  15.0; P;    1;   60; 100;       181.83;        0.444; 0                                           
  16.0; I;    0;    0;   0;       181.83;        0.000; 0                                           
  17.0; I;    0;    0;   0;       181.83;        0.000; 0                                           
  18.0; I;    0;    0;   0;       181.83;        0.000; 0                                           
  19.0; I;    0;    0;   0;       181.83;        0.000; 0                                           
  20.0; I;    0;    0;   0;       181.83;        0.000; 0                                           
  21.0; I;    0;    0;   0;       183.38;        0.000; 0                                           
  22.0; I;    0;    0;   0;       183.26;        0.000; 0                                           
  23.0; I;    0;    0;   0;       183.14;        0.000; 0                                           
  24.0; I;    0;    0;   0;       183.03;        0.000; 0                                           
  25.0; I;    0;    0;   0;       182.91;        0.000; 0                                           
  26.0; I;    0;    0;   0;       182.79;        0.000; 0                                           
  27.0; I;    0;    0;   0;       182.67;        0.000; 0                                           
  28.0; I;    0;    0;   0;       182.55;        0.000; 0                                           
  29.0; I;    0;    0;   0;       182.43;        0.000; 0                                           
  30.0; I;    0;    0;   0;       182.31;        0.000; 0                                           
  31.0; I;    0;    0;   0;       182.19;        0.000; 0                                           
  32.0; I;    0;    0;   0;       182.08;        0.000; 0                                           
  33.0; I;    0;    0;   0;       181.96;        0.000; 0                                           
  34.0; I;    0;    0;   0;       181.84;        0.000; 0                                           
  35.0; I;    0;    0;   0;       181.72;        0.000; 0                                           
  36.0; I;    0;    0;   0;       181.60;        0.000; 0                                           
  37.0; I;    0;    0;   0;       181.48;        0.000; 0                                           
  38.0; I;    0;    0;   0;       181.37;        0.000; 0                                           
  39.0; I;    0;    0;   0;       181.25;        0.000; 0                                           
  40.0; I;    0;    0;   0;       181.13;        0.000; 0                                           
  41.0; I;    0;    0;   0;       181.01;        0.000; 0                                           
  42.0; I;    0;    0;   0;       180.90;        0.000; 0                                           
  43.0; I;    0;    0;   0;       180.78;        0.000; 0                                           
  44.0; I;    0;    0;   0;       180.66;        0.000; 0                                           
  45.0; I;    0;    0;   0;       180.54;        0.000; 0                                           
  46.0; I;    0;    0;   0;       180.43;        0.000; 0                                           
  47.0; I;    0;    0;   0;       180.31;        0.000; 0                                           
  48.0; I;    0;    0;   0;       180.19;        0.000; 0                                           
  49.0; I;    0;    0; 100;       182.23;        0.000; 0                                           
  50.0; I;    0;    0; 100;       184.50;        0.000; 0                                           
  51.0; I;    0;    0; 100;       186.74;        0.000; 0                                           
  52.0; I;    0;    0; 100;       189.00;        0.000; 0                                           
  53.0; I;    0;    0; 100;       191.26;        0.000; 0                                           
  54.0; I;    0;    0; 100;       193.52;        0.000; 0                                           
  55.0; I;    0;    0; 100;       195.76;        0.000; 0                                           
  56.0; I;    0;    0; 100;       198.02;        0.000; 0                                           
  57.0; I;    0;    0; 100;       200.28;        0.000; 0                                           
  58.0; I;    0;    0; 100;       202.51;        0.000; 0                                           
  59.0; I;    0;    0; 100;       204.77;        0.000; 0                                           
  60.0; I;    0;    0; 100;       207.02;        0.000; 0                                           
  61.0; I;    0;    0; 100;       209.27;        0.000; 0                                           
  62.0; I;    0;    0; 100;       211.50;        0.000; 0                                           
  63.0; I;    0;    0; 100;       213.75;        0.000; 0                                           
  64.0; I;    0;    0; 100;       215.99;        0.000; 0                                           
  65.0; I;    0;    0; 100;       218.21;        0.000; 0                                           
  66.0; I;    0;    0; 100;       220.45;        0.000; 0                                           
  67.0; I;    0;    0; 100;       222.69;        0.000; 0                                           
  68.0; I;    0;    0; 100;       224.93;        0.000; 0                                           
  69.0; I;    0;    0; 100;       227.14;        0.000; 0                                           
  70.0; I;    0;    0; 100;       229.38;        0.000; 0                                           
  71.0; I;    0;    0; 100;       231.60;        0.000; 0                                           
  72.0; I;    0;    0; 100;       233.84;        0.000; 0                                           
  73.0; I;    0;    0; 100;       236.04;        0.000; 0                                           
  74.0; I;    0;    0; 100;       238.27;        0.000; 0                                           
  75.0; I;    0;    0; 100;       240.50;        0.000; 0                                           
  76.0; I;    0;    0; 100;       242.71;        0.000; 0                                           
  77.0; I;    0;    0; 100;       244.93;        0.000; 0                                           
  78.0; I;    0;    0; 100;       247.15;        0.000; 0                                           
  79.0; I;    0;    0; 100;       249.36;        0.000; 0                                           
  80.0; I;    0;    0; 100;       251.57;        0.000; 0                                           
  81.0; I;    0;    0; 100;       253.78;        0.000; 0                                           
  82.0; I;    0;    0; 100;       255.99;        0.000; 0                                           
  83.0; I;    0;    0; 100;       258.19;        0.000; 0                                           
  84.0; I;    0;    0; 100;       260.40;        0.000; 0                                           
  85.0; I;    0;    0; 100;       262.60;        0.000; 0                                           
  86.0; I;    0;    0; 100;       264.81;        0.000; 0                                           
  87.0; I;    0;    0; 100;       267.01;        0.000; 0                                           
  88.0; I;    0;    0; 100;       269.22;        0.000; 0                                           
  89.0; I;    0;    0; 100;       271.42;        0.000; 0                                           
  90.0; I;    0;    0; 100;       273.60;        0.000; 0                                           
